ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Document status,Format Number,Format Unit Type,Format Number Type,Hallmark Type,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,Source Note,Source Note Type,Source Note Language,Mark Text,Mark Type,Mark Language,Material,Object Type,Other Identifier,Other Identifier Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:667_#1,https://data.museumplantinmoretus.be/ark:/11975/c1a97a02-593e-5c79-869e-aaba1cb7c9ae,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_AnnotationsMaterial,1,kenmerken.mpmaccess,acai,Alfabetische index,Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_Archives,1,,,,,,isad:mpm:225,"dlod={""name"":""Cargasoenboeken"",""ark"":""ark:/11975/x0/a4b85bc2-07f5-5e6d-af1a-629759a57be4"",""uri"":""/repositories/10/archival_objects/24076"",""id"":""isad:mpm:225"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar onderwerp"",""Boekhandel met Spanje""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Cargasoenboeken"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/a4b85bc2-07f5-5e6d-af1a-629759a57be4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,370,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,240,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,133,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,136,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,mpmre,tg:mpmre:667_#1,Arch. 743,isad:mpm:225,10 R 9 D,c1a97a02-593e-5c79-869e-aaba1cb7c9ae,,,,,,,,,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_ObjectTypes,1,kenmerken.mpmtypere,regb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ledgers (account books),,,,,,,,,
c1a97a02-593e-5c79-869e-aaba1cb7c9ae,tg:mpmre:667_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631,open
