ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Document status,Format Number,Format Unit Type,Format Number Type,Hallmark Type,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,Source Note,Source Note Type,Source Note Language,Mark Text,Mark Type,Mark Language,Material,Object Type,Other Identifier,Other Identifier Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:140_#1,https://data.museumplantinmoretus.be/ark:/11975/ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_Archives,1,,,,,,isad:mpm:211,"dlod={""name"":""Memorialen wekelijkse betalingen"",""ark"":""ark:/11975/x0/74a72e7b-a9c5-5f31-b017-1c0d990b0c23"",""uri"":""/repositories/10/archival_objects/22578"",""id"":""isad:mpm:211"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Drukkerij"",""Werklieden"",""'~[Concordia](au::108363)~' van de correctoren""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Memorialen wekelijkse betalingen"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/74a72e7b-a9c5-5f31-b017-1c0d990b0c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,356,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,187,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,283,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,288,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,mpmre,tg:mpmre:140_#1,Arch. 791,isad:mpm:211,10 R 9 B,ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,,,,,,,,,,,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_ObjectTypes,1,deafault_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blotters (bookkeeping records),,,,,,,,,
ae4fe5d5-39af-5f63-8dca-bde6f90b1e38,tg:mpmre:140_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689,open
