ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Document status,Format Number,Format Unit Type,Format Number Type,Hallmark Type,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,Source Note,Source Note Type,Source Note Language,Mark Text,Mark Type,Mark Language,Material,Object Type,Other Identifier,Other Identifier Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:70_#1,https://data.museumplantinmoretus.be/ark:/11975/209a354a-f195-5af0-9e8e-909c502cae4e,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Archives,1,,,,,,isad:mpm:275,"dlod={""name"":""Kwitanties"",""ark"":""ark:/11975/x0/ba2cdaf8-7a8a-5f18-8d25-59fd8344f511"",""uri"":""/repositories/10/archival_objects/29426"",""id"":""isad:mpm:275"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar vorm""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Kwitanties"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/ba2cdaf8-7a8a-5f18-8d25-59fd8344f511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Carrier,1,,,,,,,,,kenmerken.mpmdragerak,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,230,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,105,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,1,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_HallmarkTypes,1,kenmerken.mpmwaarmerk,akwaht,,,,,,,,,,,,,,,,signatures (names),,,,,,,,,,,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,mpmak,tg:mpmak:70_#1,Arch. 868,isad:mpm:275,10 R 8 D,209a354a-f195-5af0-9e8e-909c502cae4e,,Los stuk; Arch. 863-898 zijn samen in een moderne convoluutband ingebonden,remarks,Nederlands,,,,,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,receipts (financial records),,,,,,,,,
209a354a-f195-5af0-9e8e-909c502cae4e,tg:mpmak:70_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,open
