ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Document status,Format Number,Format Unit Type,Format Number Type,Hallmark Type,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,Source Note,Source Note Type,Source Note Language,Mark Text,Mark Type,Mark Language,Material,Object Type,Other Identifier,Other Identifier Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmdc:19_#1,https://data.museumplantinmoretus.be/ark:/11975/b3f0b56d-b0fc-5d99-97ae-034125a678bd,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_Archives,1,,,,,,isad:mpm:338,"dlod={""name"":""Map B: familie Moretus"",""ark"":""ark:/11975/x0/044d5355-395a-5b24-b0f7-314811fdecdb"",""uri"":""/repositories/10/archival_objects/36167"",""id"":""isad:mpm:338"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""Selectie De Renette""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Map B: familie Moretus"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/044d5355-395a-5b24-b0f7-314811fdecdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,210,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,250,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,1,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,mpmdc,tg:mpmdc:19_#1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,b3f0b56d-b0fc-5d99-97ae-034125a678bd,B.k.1.2,,,,,,,,,,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_ObjectTypes,1,deafault_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,documents (object genre),,,,,,,,,
b3f0b56d-b0fc-5d99-97ae-034125a678bd,tg:mpmdc:19_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,open
