ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,dataset,Associated Record Note,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,source_date,Copyright Revision Date,Copyright Type,Transactions
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:117,https://data.museumplantinmoretus.be/ark:/11975/9be031af-0a8f-549e-9801-3219daddf8de,Registers,,,,,,,
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_AssociatedRecords,1,,,,,,mpmre,,volgend register,tg:mpmre:118,Verwijzing naar MPM objectbeschrijvingen,1eea9247-ae94-5c33-8edb-a8cf852f2a0b,"[{""resourceId"": ""1eea9247-ae94-5c33-8edb-a8cf852f2a0b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a3272b5b-d41d-4f56-bd92-44d6000fd0dd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_AssociatedRecords,2,,,,,,mpmre,,vorig register,tg:mpmre:116,Verwijzing naar MPM objectbeschrijvingen,777bc791-0107-5582-9d3a-7dd69a951b9f,"[{""resourceId"": ""777bc791-0107-5582-9d3a-7dd69a951b9f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""75a35e56-4b15-4423-8940-d206a8456346"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9be031af-0a8f-549e-9801-3219daddf8de,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5e6e9429-f845-47af-9a0f-6623eb28fdda"", ""ontologyProperty"": """", ""resourceXresourceId"": ""750b1ba9-0bac-428b-9f46-e0a73d5b4637"", ""inverseOntologyProperty"": """"}]"
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627,1742,No Copyright - Public Domain Mark 1.0,
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_CreationActors,,,au::106905,,,,mpmre,,,,,,,mpm,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,,au::106905:1,au::106905g:1,,,,,Tekstdrager,originators (administrative),,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16270900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_Languages,1,kenmerken.mpmlanguage,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,
9be031af-0a8f-549e-9801-3219daddf8de,tg:mpmre:117,e73_Languages,2,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,,,
