ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,dataset,Associated Record Note,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,source_date,Copyright Revision Date,Copyright Type,Transactions
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:81,https://data.museumplantinmoretus.be/ark:/11975/1f6cb453-1415-58f6-b857-980d4e2162d5,Akten,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b01a81bb-4faa-4076-930a-fb67172c11d5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ef2829b8-ca31-4db3-9c62-734c24d6a4c2"", ""inverseOntologyProperty"": """"}]"
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608,1723,No Copyright - Public Domain Mark 1.0,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_CreationActors,,,au::106905,,,,mpmak,,,,,,,mpm,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,,au::106905:1,au::106905g:1,,,,,Tekstdrager,originators (administrative),,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_CreationActors,,,au::106906,,,,mpmak,,,,,,,mpm,455c1363-f306-5b61-91c4-2c01d43428ab,opd,,au::106906:1,au::106906g:1,,,,,Tekstdrager,writers (clerical workers),,"dlod={""suggest"":[""/agents/people/11438942"",""au::106906"",""au::106906:1"",""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""Jan I Moretus""],""name"":""Jan I Moretus"",""ark"":""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""uri"":""/agents/people/11438942"",""id"":""au::106906:1"",""isCapacity"":false}",ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608,circa,,Vervliet 1959,creation date note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transcripts,Met Franse vertaling van de instructie,Nederlands,remarks,c:lvd:1083197,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/ak/000000070,referentienummer,False,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Datering door H.D.L. Vervliet afgeleid van het overlijden van senior letterzetter Cornelis Kiel (Kilianus) in 1607. Vervliet argumenteert dat Jan I Moretus toen de noodzaak vond om de instructies voor de letterzetters neer te schrijven.   
KS_20150408",commentaar gebruiker,False,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmak:81,brocade id,False,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmak:81/N,brocade url,False,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,,e73_LegacyInformation,2,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Niet in M. Sabbe, De Plantijnsche werkstede",commentaar gebruiker,False,,,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d8c5e437-466f-5c33-9c1b-f0d908a1723d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""54d9c4e9-dcca-4853-b7ef-478bd67f2baa"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correctores qui typographiae Plant[inian]ae inserviunt, diligentissime observare debent quae sequuntur",titles proper,Latin (language),,,,
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_Titles,2,id.title/subTitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instructie voor de proeflezers van de Officina Plantiniana,constructed titles,Dutch (language),,,,
