ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,dataset,Associated Record Note,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,source_date,Copyright Revision Date,Copyright Type,Transactions
e5345a9c-c26d-5f23-954b-0b469c6a7e05,tg:mpmak:62,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:62,https://data.museumplantinmoretus.be/ark:/11975/e5345a9c-c26d-5f23-954b-0b469c6a7e05,Akten,,,,,,,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,tg:mpmak:62,e73_AnnotationsImmaterial,1,note.mpmalg,"<p>Onvolledig concept. De volledige vrachtbrief is ingebonden in de 'cahier de Francfort' van de vastenfoor van 1607 (Arch. 1003)</p>
","<p>Onvolledig concept. De volledige vrachtbrief is ingebonden in de 'cahier de Francfort' van de vastenfoor van 1607 (Arch. 1003)</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c92ea569-cfe4-4fab-af09-37ee29f4bedd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""86c530d4-36f8-4763-8b87-f3c36f26f34e"", ""inverseOntologyProperty"": """"}]"
e5345a9c-c26d-5f23-954b-0b469c6a7e05,tg:mpmak:62,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,1722,No Copyright - Public Domain Mark 1.0,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,tg:mpmak:62,e73_CreationActors,,,au::106905,,,,mpmak,,,,,,,mpm,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,,au::106905:1,au::106905g:1,,,,,Tekstdrager,originators (administrative),,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,tg:mpmak:62,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16070300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,tg:mpmak:62,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,tg:mpmak:62,e73_Languages,1,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,,,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/ak/000000053,referentienummer,False,,,,,,,,,,,,,,,,,
e5345a9c-c26d-5f23-954b-0b469c6a7e05,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmak:62,brocade id,False,,,,,,,,,,,,,,,,,
