ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:80,https://data.museumplantinmoretus.be/ark:/11975/2d0bf567-5768-5791-b31c-86e0269b9dd9,Foto's,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""eac4c344-15e8-48f9-be37-fe60a3c5eaa5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4789b6ae-c262-4f8b-9ebf-a825c0ba0306"", ""inverseOntologyProperty"": """"}]"
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,,,,,,,id/date.exposure/so,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,,,,e73_Descriptions,,,,,,,,,,,,,,,,,id.desc,,,,,,,"*Epreuve des caracteres, & fleurons, signes, astronomique, chimique, geometrique & autres carracteres. Qui se fondent dans la fonderie de J.F. Rosart* (Jacques F. Rosart, Haarlem 1752)
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,,,,,e73_LegacyInformation,,,,,,,,,,0,,,,,,,id.objectNumber,,,,,,,,,,BE-ANN00/ph/000000069,referentienummer,False,,,,,,,,,,,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.id,,,,,,,,,,tg:mpmph:80,brocade id,False,,,,,,,,,,,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.url,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:80/N,brocade url,False,,,,,,,,,,,,,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,,,,e73_MaterialRecords,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e2184164-9516-51e5-817a-db86425e2ad1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bef63c94-2369-4e1d-a79b-b1fbeb74ad89"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
