ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:106,https://data.museumplantinmoretus.be/ark:/11975/d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,Foto's,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,Places,,,,,,,,,,1,[Amsterdam],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""934b94ed-2913-433b-a3e7-f14ae5b9139f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""39fb3541-dd42-406f-97b1-7f6f0a248456"", ""inverseOntologyProperty"": """"}]"
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,,,,,,,id/date.exposure/so,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_Descriptions,,,,,,,,,,,,,,,,,id.desc,,,,,,,"*Epreuves de plusieurs sortes de caractéres; romains, italiques, flamands, allemands, … qui se fondent chez la fréres Ploos van Amstel* = *Proef van Romeinsche, cursyfsche, Neder en Hoogduitsche, Hebreeuwsche, … letteren … welke gegooten worden by geb. Ploos van Amstel* (Gebroeders Ploos van Amstel, Amsterdam 1784)
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_LegacyInformation,,,,,,,,,,0,,,,,,,id.objectNumber,,,,,,,,,,BE-ANN00/ph/000000095,referentienummer,False,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.id,,,,,,,,,,tg:mpmph:106,brocade id,False,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.url,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:106/N,brocade url,False,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_MaterialRecords,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c88b47ee-c697-5a61-8537-0afdddf11c67"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f88d4ad9-a342-4767-8242-64b687f00a05"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
