ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:100,https://data.museumplantinmoretus.be/ark:/11975/f022dc4f-36b1-5a66-80aa-9944797a9e37,Foto's,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,,,,Places,,,,,,,,,,1,[Antwerpen],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""39d0f9fe-6f53-4ff1-8701-7e19032a47e8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""403da1f4-fac5-42a2-91fd-881ee1fd0013"", ""inverseOntologyProperty"": """"}]"
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,,,,,,,id/date.exposure/so,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,,,,e73_Descriptions,,,,,,,,,,,,,,,,,id.desc,,,,,,,"*Specimen characterum arabicorum Officinae Plantinianae Franc. Raphelengii* (Franciscus Raphelengius, Leiden 1595)",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,,,,,e73_LegacyInformation,,,,,,,,,,0,,,,,,,id.objectNumber,,,,,,,,,,BE-ANN00/ph/000000089,referentienummer,False,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.id,,,,,,,,,,tg:mpmph:100,brocade id,False,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.url,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:100/N,brocade url,False,,,,,,,,,,,,,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,,,,e73_MaterialRecords,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4f444090-50f1-582a-9a2b-fa430307a70c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7e9cf339-3ec9-450d-af48-2e8cf4f2fd5a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
