ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:66,https://data.museumplantinmoretus.be/ark:/11975/446b3528-00c5-567d-b487-16c664daba1b,Foto's,,,,
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,,,,Places,,,,,,,,,,1,[Antwerpen],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f282760a-7a5f-451f-a9e5-4b55f24f5e4c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0c46dfaf-cb7a-4a63-a0fe-0c12158d4b03"", ""inverseOntologyProperty"": """"}]"
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,,,,,,,id/date.exposure/so,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,,,,e73_Descriptions,,,,,,,,,,,,,,,,,id.desc,,,,,,,"Zes letterproeven samen onder de naam Voskens:     
1) *Proef van letteren die te bekomen zyn, by Voskes en Clerk* (Voske[n]s en Clerk, Amsterdam [17..])    
2) *Proef van letteren die te bekomen zyn, by de weduwe van Dirk Voskens en zonen, lettergieters op de Bloemgragt tot Amsterdam* (Voskens en zonen, Amsterdam 1700)     
3) *Epreuve de caracteres, qui se trouent chez la veufve de Dirk Voskens & Fils (Clerk), fondeurs de caracteres sur le Bloemgragt, à Amsterdam* (Voskens en zonen, doorstreept naar Voskens en Clerk, Amsterdam 1700)    
4) *Proef van letteren …* (weduwe van D. Voskens, Amsterdam 1700)    
5) *Proben un Abstruch Teutscher Schriften …* (Voskens en zonen, Amsterdam 1700)     
6) *Proef van letteren, &c. die te bekomen zyn, by Clerk, Voskens. Lettergieter op de Oude Zyds agter Burgwal, tot Amsterdam* (Clerk en Voskens, Amsterdam [17..])
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,,,,,e73_LegacyInformation,,,,,,,,,,0,,,,,,,id.objectNumber,,,,,,,,,,BE-ANN00/ph/000000055,referentienummer,False,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.id,,,,,,,,,,tg:mpmph:66,brocade id,False,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.url,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:66/N,brocade url,False,,,,,,,,,,,,,,
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,,,,e73_MaterialRecords,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""443e33f1-6a69-5bbe-ae99-8a39337ad250"", ""ontologyProperty"": """", ""resourceXresourceId"": ""88c466e4-d715-4a87-b552-4a4c673a4d26"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
