ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:21,https://data.museumplantinmoretus.be/ark:/11975/32b561ba-598d-5dbe-9489-35948ec95d3c,Foto's,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""86a3ff8e-82c6-45ba-833c-d1e32e649d29"", ""ontologyProperty"": """", ""resourceXresourceId"": ""54d734cb-1484-409c-b7c2-cf24bf2294db"", ""inverseOntologyProperty"": """"}]"
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,,,,,,,id/date.exposure/so,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,,,,e73_Descriptions,,,,,,,,,,,,,,,,,id.desc,,,,,,,"Fragment van *Alphabetum Arabicum* (Rome, 1592) 
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,,,,,e73_LegacyInformation,,,,,,,,,,0,,,,,,,id.objectNumber,,,,,,,,,,BE-ANN00/ph/000000010,referentienummer,False,,,,,,,,,,,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.id,,,,,,,,,,tg:mpmph:21,brocade id,False,,,,,,,,,,,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.url,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:21/N,brocade url,False,,,,,,,,,,,,,,
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,,,,e73_MaterialRecords,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""44c64192-38c7-592c-bad7-d324bbe2cc23"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d916e4aa-fe12-4d20-8dbc-35f39708247f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
