ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
7ad45804-4a27-5e19-b725-a63b0274f977,tg:mpmph:78,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:78,https://data.museumplantinmoretus.be/ark:/11975/7ad45804-4a27-5e19-b725-a63b0274f977,Foto's,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7d6a479f-3525-4970-8cff-9c1df5060770"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dac27997-3d10-4d78-ae04-42e909d911f5"", ""inverseOntologyProperty"": """"}]"
7ad45804-4a27-5e19-b725-a63b0274f977,tg:mpmph:78,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
7ad45804-4a27-5e19-b725-a63b0274f977,tg:mpmph:78,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,tg:mpmph:78,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,,,,,,,id/date.exposure/so,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,tg:mpmph:78,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,tg:mpmph:78,,,,e73_Descriptions,,,,,,,,,,,,,,,,,id.desc,,,,,,,"FG = Frankrijk Gotiek uit de periode 1500-1520. Stukjes van diverse grootte, maar we weten niet uit welk werken ze afkomstig zijn.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,,,,,e73_LegacyInformation,,,,,,,,,,0,,,,,,,id.objectNumber,,,,,,,,,,BE-ANN00/ph/000000067,referentienummer,False,,,,,,,,,,,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.id,,,,,,,,,,tg:mpmph:78,brocade id,False,,,,,,,,,,,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,,,,,e73_LegacyInformation,,,,,,,,,,1,,,,,,,brocade.url,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:78/N,brocade url,False,,,,,,,,,,,,,,
7ad45804-4a27-5e19-b725-a63b0274f977,tg:mpmph:78,,,,e73_MaterialRecords,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f27ae1f3-0241-548e-921f-54ff32fd6726"", ""ontologyProperty"": """", ""resourceXresourceId"": ""974a82f1-c76e-43d3-a44d-8f827b9060d7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
