ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,source_code,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:27_#1,https://data.museumplantinmoretus.be/ark:/11975/5ce72c6f-ee27-57e7-9692-959c34f60bcb,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,120,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,170,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Items,1,,,,,,,,,,mpmtk,tg:mpmtk:27_#1,TK 389,10 K 1 G,5ce72c6f-ee27-57e7-9692-959c34f60bcb,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Marks,1,,,,,,,,,,,,,,,,,"<p>Nota quod Musa / habeat Pennam / in capite qua / differt ab Apolline</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Marks,2,,,,,,,,,,,,,,,,,"<p>Habes hic Musam sive Poesim cum Minerva seu Virtute / forma Hermatenis coniunctam nam musam pro Mercurio / apposui quod pluribus exemplis licet, nescio an tibi meum commentum / placebit ego certo mihi hoc invento valde placeo / ne dicam gratulor</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_MaterialColour,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,brown (color),ink,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,,,,,,,,,,,,,,,tttek,drawings (visual works),,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,,,,,,,,,,,,,,,tpe,,,,,,,,pens (drawing and writing implements),,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634,open
