ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,source_code,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:22_#1,https://data.museumplantinmoretus.be/ark:/11975/0d8b93fa-fe92-5008-a567-164e0385914b,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,127,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,77,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_Items,1,,,,,,,,,,mpmtk,tg:mpmtk:22_#1,TK 386,10 K 1 H,0d8b93fa-fe92-5008-a567-164e0385914b,,,,,,,,,,,,,,,,,,,,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_Marks,1,,,,,,,,,,,,,,,,,"<p>AVN&quot; monogram beneden links</p>
",signatures (names),Nederlands,,,,,,,,,,,,,,,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_MaterialColour,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,sepia (color),ink,,,,,,,,,,,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,,,,,,,,,,,,,,,tttek,drawings (visual works),,,,,,,,,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,,,,,,,,,,,,,,,tpe,,,,,,,,pens (drawing and writing implements),,,,,
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,open
