ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,source_code,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:39_#1,https://data.museumplantinmoretus.be/ark:/11975/e81669e6-53d4-5085-9633-335775557e15,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,180,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,140,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Items,1,,,,,,,,,,mpmtk,tg:mpmtk:39_#1,TK 388,10 K 1 G,e81669e6-53d4-5085-9633-335775557e15,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Marks,1,,,,,,,,,,,,,,,,,"<p>Ara, Patera et Simpulum Pietatem / Religionem et Sacra indicent / Lira et Hederacea Corona Poesim</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_MaterialColour,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,brown (color),ink,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,,,,,,,,,,,,,,,tttek,drawings (visual works),,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,,,,,,,,,,,,,,,tpe,,,,,,,,pens (drawing and writing implements),,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634,open
