ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,source_code,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:33_#1,https://data.museumplantinmoretus.be/ark:/11975/29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,110,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,65,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_Items,1,,,,,,,,,,mpmtk,tg:mpmtk:33_#1,TK 263,10 K 1 H,29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,,,,,,,,,,,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_MaterialColour,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,ink,,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_MaterialColour,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechaanvtk.mpmtechtaddtk,,bister (pigment),,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,,,,,,,,,,,,,,,tttek,drawings (visual works),,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,,,,,,,,,,,,,,,tpe,,,,,,,,pens (drawing and writing implements),,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636,open
