ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:28,https://data.museumplantinmoretus.be/ark:/11975/d54e2845-9df5-5575-b70c-a511c6465095,Brieven,,,,
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,Places,1,,,,,,,,,,,au::104770,,,,,,,,,,,,,,"dlod={""name"":""'s-Hertogenbosch (Noord-Brabant)"",""ark"":""ark:/83110/x0/65ee80e2-b36f-5fe4-8f94-c2e6fe63bc88"",""uri"":""/subjects/11210390"",""id"":""au::104770"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9196561f-1197-4c88-ba84-6df0ef547a39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""89cd6eab-4cf1-42bf-bf4e-fdd71a34e518"", ""inverseOntologyProperty"": """"}]"
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631,1746,No Copyright - Public Domain Mark 1.0,
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,e73_CreationActors,,,au::108953,,,,mpm,1e118261-74ca-5e12-b5a0-c0ee1d1ceb97,bs,,au::108953:1,au::108953g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11657971"",""au::108953"",""au::108953:1"",""ark:/83110/x0/1e118261-74ca-5e12-b5a0-c0ee1d1ceb97"",""Columbin onbekend""],""name"":""Columbin onbekend"",""ark"":""ark:/83110/x0/1e118261-74ca-5e12-b5a0-c0ee1d1ceb97"",""uri"":""/agents/people/11657971"",""id"":""au::108953:1"",""isCapacity"":false}",ark:/83110/x0/1e118261-74ca-5e12-b5a0-c0ee1d1ceb97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,e73_CreationActors,,,au::106908,,,,mpm,9f62622e-af8f-5120-8bb2-771de1268484,co,,au::106908:1,au::106908g:1,,,,,mpmbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/11439156"",""au::106908"",""au::106908:1"",""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""Balthasar I Moretus""],""name"":""Balthasar I Moretus"",""ark"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""uri"":""/agents/people/11439156"",""id"":""au::106908:1"",""isCapacity"":false}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16310000,,,,,,,,,,,,,,,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1631,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,e73_Languages,1,kenmerken.mpmlanguage,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000019,referentienummer,False,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Datering afgeleid van het journaal waarin de brief werd aangetroffen. <br>KS_20150401,commentaar gebruiker,False,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:28,brocade id,False,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:28/N,brocade url,False,,,,,,,,,,,
d54e2845-9df5-5575-b70c-a511c6465095,tg:mpmbr:28,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a0b919a0-252b-5dc0-8102-6df6cc3ce7a3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0de908e3-42ce-427e-9785-9294bb6fe043"", ""inverseOntologyProperty"": """"}]",,,,,,,,
