ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:731,https://data.museumplantinmoretus.be/ark:/11975/71256ebd-9353-5b72-a5ed-14e29a58fca7,Brieven,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,Places,1,,,,,,,,,,,au::100141:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""dbf0548a-9d7e-46da-9d2b-8f4a026af2cb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1e65c282-8dbe-4b92-a042-cfa13f80f551"", ""inverseOntologyProperty"": """"}]"
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,1688,No Copyright - Public Domain Mark 1.0,
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,e73_CreationActors,,,au::106906,,,,mpm,455c1363-f306-5b61-91c4-2c01d43428ab,bs,,au::106906:1,au::106906g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11438942"",""au::106906"",""au::106906:1"",""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""Jan I Moretus""],""name"":""Jan I Moretus"",""ark"":""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""uri"":""/agents/people/11438942"",""id"":""au::106906:1"",""isCapacity"":false}",ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15730608,,,,,,,,,,,,,,,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1573-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,e73_Languages,1,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000717,referentienummer,False,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:731,brocade id,False,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:731/N,brocade url,False,,,,,,,,,,,
71256ebd-9353-5b72-a5ed-14e29a58fca7,tg:mpmbr:731,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ba6467ed-6153-5453-9811-616978530777"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2512a4ee-e2c2-4cfb-9d9f-3c3774daf7d9"", ""inverseOntologyProperty"": """"}]",,,,,,,,
