ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:272,https://data.museumplantinmoretus.be/ark:/11975/b0379575-718f-53ec-af82-e316d7d6c8d7,Brieven,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,Places,1,,,,,,,,,,,,,,,,,,,,,,Thorn,remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4b733b9c-3c85-4770-97c2-0a85741f10a3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4d298563-4937-4b4f-9439-5c09dd1967c0"", ""inverseOntologyProperty"": """"}]"
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719,1834,No Copyright - Public Domain Mark 1.0,
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,e73_CreationActors,,,au::111457,,,,mpm,ca40f8b9-134c-5e3a-8353-c6f005f7f1b3,bs,,au::111457:1,au::111457g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11925899"",""au::111457"",""au::111457:1"",""ark:/83110/x0/ca40f8b9-134c-5e3a-8353-c6f005f7f1b3"",""Johann Friedrich Havenstein""],""name"":""Johann Friedrich Havenstein"",""ark"":""ark:/83110/x0/ca40f8b9-134c-5e3a-8353-c6f005f7f1b3"",""uri"":""/agents/people/11925899"",""id"":""au::111457:1"",""isCapacity"":false}",ark:/83110/x0/ca40f8b9-134c-5e3a-8353-c6f005f7f1b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,e73_CreationActors,,,au::108566,,,,mpm,2f08e812-c725-5b4c-8e1c-c28e95d0e7a6,co,,au::108566:1,au::108566g:1,,,,,mpmbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/11616562"",""au::108566"",""au::108566:1"",""ark:/83110/x0/2f08e812-c725-5b4c-8e1c-c28e95d0e7a6"",""Balthasar IV Moretus""],""name"":""Balthasar IV Moretus"",""ark"":""ark:/83110/x0/2f08e812-c725-5b4c-8e1c-c28e95d0e7a6"",""uri"":""/agents/people/11616562"",""id"":""au::108566:1"",""isCapacity"":false}",ark:/83110/x0/2f08e812-c725-5b4c-8e1c-c28e95d0e7a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17190410,,,,,,,,,,,,,,,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1719-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,e73_Languages,1,kenmerken.mpmlanguage,ger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German (language),,,,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000262,referentienummer,False,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:272,brocade id,False,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:272/N,brocade url,False,,,,,,,,,,,
b0379575-718f-53ec-af82-e316d7d6c8d7,tg:mpmbr:272,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""84dd5d68-4495-57f5-98e6-30887cc5e3dd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b23f2ada-4885-4ca8-8efe-b6470dc4a59f"", ""inverseOntologyProperty"": """"}]",,,,,,,,
