ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:44,https://data.museumplantinmoretus.be/ark:/11975/ee61ec62-6df4-57dc-b6b6-a41aa855bc97,Brieven,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,Places,1,,,,,,,,,,,au::103088,,,,,,,,,,,,,,"dlod={""name"":""Rijsel (Arrondissement de Lille)"",""ark"":""ark:/83110/x0/8559f378-e576-5c55-8772-63fcc0b5a763"",""uri"":""/subjects/11030416"",""id"":""au::103088"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b4b7fda8-81c8-4fb0-af1a-f45fa6c8a9d5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""38b6f954-5a2a-4ecb-ba02-c387f2c3f83e"", ""inverseOntologyProperty"": """"}]"
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664,1779,No Copyright - Public Domain Mark 1.0,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,e73_CreationActors,,,au::109066,,,,mpm,67d6c9ce-69d2-5ce1-83bc-49ac2993be59,bs,,au::109066:1,au::109066g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11670062"",""au::109066"",""au::109066:1"",""ark:/83110/x0/67d6c9ce-69d2-5ce1-83bc-49ac2993be59"",""Nicolas de Rache""],""name"":""Nicolas de Rache"",""ark"":""ark:/83110/x0/67d6c9ce-69d2-5ce1-83bc-49ac2993be59"",""uri"":""/agents/people/11670062"",""id"":""au::109066:1"",""isCapacity"":false}",ark:/83110/x0/67d6c9ce-69d2-5ce1-83bc-49ac2993be59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,e73_CreationActors,,,au::106909,,,,mpm,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,co,,au::106909:1,au::106909g:1,,,,,mpmbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16640306,,,,,,,,,,,,,,,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1664-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,e73_Languages,1,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000035,referentienummer,False,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:44,brocade id,False,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:44/N,brocade url,False,,,,,,,,,,,
ee61ec62-6df4-57dc-b6b6-a41aa855bc97,tg:mpmbr:44,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""037b8808-7886-50bc-a5a1-b5c19e0df90c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""49f5c4e0-bc6a-47fe-8d21-c63cab2419d6"", ""inverseOntologyProperty"": """"}]",,,,,,,,
