ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:769,https://data.museumplantinmoretus.be/ark:/11975/a7ff6f88-3a47-53f1-854e-6703e6f17172,Brieven,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4e2d0e03-ccc6-4a6c-afff-b6c6f360506c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eb0a05fd-14cc-4bf7-bab6-94e3decffbb1"", ""inverseOntologyProperty"": """"}]"
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590,1705,No Copyright - Public Domain Mark 1.0,
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,e73_CreationActors,,,au::109820,,,,mpm,1c7a6fe2-2f33-56d6-9723-b29fb29fcffa,bs,,au::109820:1,au::109820g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11750740"",""au::109820"",""au::109820:1"",""ark:/83110/x0/1c7a6fe2-2f33-56d6-9723-b29fb29fcffa"",""Clara Moerentorf""],""name"":""Clara Moerentorf"",""ark"":""ark:/83110/x0/1c7a6fe2-2f33-56d6-9723-b29fb29fcffa"",""uri"":""/agents/people/11750740"",""id"":""au::109820:1"",""isCapacity"":false}",ark:/83110/x0/1c7a6fe2-2f33-56d6-9723-b29fb29fcffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,e73_CreationActors,,,au::108822,,,,mpm,8f31fde2-ee53-515d-991c-997d7c3adebb,co,,au::108822:1,au::108822g:1,,,,,mpmbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/11643954"",""au::108822"",""au::108822:1"",""ark:/83110/x0/8f31fde2-ee53-515d-991c-997d7c3adebb"",""Adriana Gras""],""name"":""Adriana Gras"",""ark"":""ark:/83110/x0/8f31fde2-ee53-515d-991c-997d7c3adebb"",""uri"":""/agents/people/11643954"",""id"":""au::108822:1"",""isCapacity"":false}",ark:/83110/x0/8f31fde2-ee53-515d-991c-997d7c3adebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15900204,,,,,,,,,,,,,,,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1590-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,e73_Languages,1,kenmerken.mpmlanguage,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000755,referentienummer,False,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:769,brocade id,False,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:769/N,brocade url,False,,,,,,,,,,,
a7ff6f88-3a47-53f1-854e-6703e6f17172,tg:mpmbr:769,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a47169fc-e6ff-57b1-93b4-73153e630307"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9c17f2ef-18b8-4125-b3b1-b59c4b3aca0d"", ""inverseOntologyProperty"": """"}]",,,,,,,,
